scenario_id,mode,focus,status,duration_s,number_of_towers,number_of_assets,physical_tower_count_reported_by_datastore,active_measurement_types,code_row_count_by_signal,two_way_time_transfer_row_count,postfit_residual_count_by_type,mean_NIS_by_type,NEES,position_RMS_m,clock_RMS_m,relative_shape_raw_RMS_m,relative_shape_solved_RMS_m,swarm_gate_flags,DCB_active_flag,higher_order_ionosphere_active_flag,run_order,tw_tag,wall_s,report_wall_s,epoch_count,measurement_row_count_by_type,ekf_update_dimension_by_epoch,accepted_update_count,rejected_update_count,warning_count,matlab_order_note,group_name,mat_path,pdf_path,release_evidence_level,message
release_contract,release,all,pass,120,NaN,NaN,NaN,,"",NaN,"","",NaN,NaN,NaN,NaN,NaN,"",0,0,,,NaN,NaN,NaN,"","",NaN,NaN,NaN,,,,,unit+quick+short-numerical+full-semantic,"Release mode runs all fix gates, the quick ladder, short numerical baseline/realism battery rows, and a full-topology semantic dry-run manifest."
harness_contract,release,all,pass,NaN,NaN,NaN,NaN,,"",NaN,"","",NaN,NaN,NaN,NaN,NaN,"",0,0,,,NaN,NaN,NaN,"","",NaN,NaN,NaN,,,,,,"Validation harness writes metrics.csv, metrics.mat, and summary.md noninteractively."
ionoHO,release,all,pass,NaN,NaN,NaN,NaN,,"",NaN,"","",NaN,NaN,NaN,NaN,NaN,"",0,1,,,NaN,NaN,NaN,"","",NaN,NaN,NaN,,,,,,"Higher-order ionosphere is carried through L1/L2/IF active code rows."
swarm,release,all,pass,NaN,NaN,NaN,NaN,,"",NaN,"","",NaN,NaN,NaN,NaN,NaN,"",0,0,,,NaN,NaN,NaN,"","",NaN,NaN,NaN,,,,,,"Swarm solved-shape metrics are gated by multiAsset.twoWayISL.enable."
twtt,release,all,pass,NaN,NaN,NaN,NaN,,"",NaN,"","",NaN,NaN,NaN,NaN,NaN,"",0,0,,,NaN,NaN,NaN,"","",NaN,NaN,NaN,,,,,,"Two-way time-transfer physical rows are included in postfit residuals and per-type NIS."
datastore,release,all,pass,NaN,NaN,NaN,NaN,,"",NaN,"","",NaN,NaN,NaN,NaN,NaN,"",0,0,,,NaN,NaN,NaN,"","",NaN,NaN,NaN,,,,,,"Datastore preserves physical tower count separately from expanded tower-clock rows."
dcb,release,all,pass,NaN,NaN,NaN,NaN,,"",NaN,"","",NaN,NaN,NaN,NaN,NaN,"",1,0,,,NaN,NaN,NaN,"","",NaN,NaN,NaN,,,,,,"Configured per-signal code DCB reaches active raw and IF code rows without stochastic R inflation."
labels,release,all,pass,NaN,NaN,NaN,NaN,,"",NaN,"","",NaN,NaN,NaN,NaN,NaN,"",0,0,,,NaN,NaN,NaN,"","",NaN,NaN,NaN,,,,,,"Battery labels and TW tags reflect active atmosphere, realism, and TWTT EKF physics."
islDocs,release,all,pass,NaN,NaN,NaN,NaN,,"",NaN,"","",NaN,NaN,NaN,NaN,NaN,"",0,0,,,NaN,NaN,NaN,"","",NaN,NaN,NaN,,,,,,"Legacy ISL helper wording routes users to the active ISL builders and relative solver."
quick_contract,release,all,pass,60,NaN,NaN,NaN,,"",NaN,"","",NaN,NaN,NaN,NaN,NaN,"",0,0,,,NaN,NaN,NaN,"","",NaN,NaN,NaN,,,,,,"Quick ladder emits one pass/fail row for each required scenario; short smoke durations are not release proof."
Q1_G5S1R4_L1_matched_TW0,release,all,pass,60,5,1,5,code,"L1",0,"code+doppler+carrier+twtt tracked in datastore","code=2.5e+05,twtt=0",NaN,96.1568257629558,95.9616803191297,NaN,NaN,"",0,0,,,NaN,NaN,NaN,"","",NaN,NaN,NaN,,,,,,"Short L1 matched-atmosphere one-way smoke passed."
Q2_G5S1R4_IF_ionoHO_TW0,release,all,pass,60,5,1,NaN,ifCode+ionoHO,"L1+L2->IF",NaN,"","",NaN,NaN,NaN,NaN,NaN,"",0,1,,,NaN,NaN,NaN,"","",NaN,NaN,NaN,,,,,,"IF higher-order ionosphere signed-source row path passed."
Q3_G5S1R4_realism_DCB_TW0,release,all,pass,60,5,1,NaN,code+dcb,"L1/L2/IF",NaN,"","",NaN,NaN,NaN,NaN,NaN,"",1,0,,,NaN,NaN,NaN,"","",NaN,NaN,NaN,,,,,,"Realism-grade configured DCB reaches active code rows."
Q4_G5S1R4_realism_DCB_TW1,release,all,pass,10,5,1,5,code+dcb+twoWayTimeTransfer,"L1/L2 code + TWTT",5,"code+doppler+carrier+twtt tracked in datastore","code=1.55e+06,twtt=1.51e+04",NaN,2.76507869548702,0.303357597846296,NaN,NaN,"",1,0,,,NaN,NaN,NaN,"","",NaN,NaN,NaN,,,,,,"Realism DCB plus active TWTT smoke passed."
Q5_G5S3R4_twoWayISL_off,release,all,pass,60,5,3,NaN,swarmRelativeLayer,"",NaN,"","",NaN,NaN,NaN,8.61033186457198,NaN,"shapeGate=0,relClockGate=0,source=disabled",0,0,,,NaN,NaN,NaN,"","",NaN,NaN,NaN,,,,,,"twoWayISL=off; solved shape suppressed"
Q6_G5S3R4_twoWayISL_on,release,all,pass,60,5,3,NaN,swarmRelativeLayer,"",NaN,"","",NaN,NaN,NaN,8.61033186457198,0.000540951825353303,"shapeGate=1,relClockGate=0,source=syntheticTwoWayISL",0,0,,,NaN,NaN,NaN,"","",NaN,NaN,NaN,,,,,,"twoWayISL=on; solved shape active"
Q7_G5S3R4_twoWayISL_on_TWTT_on,release,all,pass,60,5,3,NaN,swarmRelativeLayer,"",NaN,"","",NaN,NaN,NaN,8.61033186457198,0.000540951825353303,"shapeGate=1,relClockGate=1,source=syntheticTwoWayISL",0,0,,,NaN,NaN,NaN,"","",NaN,NaN,NaN,,,,,,"twoWayISL=on; sat-sat TWSTFT relative clock active"
selected_stage24_twstft_guard,release,all,pass,60,5,1,NaN,twstftDiagnosticOnly,"diagnostic=1,physical=0",NaN,"","",NaN,NaN,NaN,NaN,NaN,"",0,0,,,NaN,NaN,NaN,"","",NaN,NaN,NaN,,,,,,"Stage24 TWSTFT diagnostic guard passed."
release_manifest_Battery_baseline,release,all,pass,120,5,NaN,NaN,battery manifest semantics only,"",NaN,"","",NaN,NaN,NaN,NaN,NaN,"",0,0,full topology dry-run,,2.93681970833333,0,NaN,"","",NaN,NaN,NaN,,Battery_baseline,,,full-topology-dry-run-manifest,"Battery_baseline full-topology semantic dry-run emitted 8 rows; labels are corrected but no numerical simulation is claimed."
release_manifest_Battery_idealised,release,all,pass,120,5,NaN,NaN,battery manifest semantics only,"",NaN,"","",NaN,NaN,NaN,NaN,NaN,"",0,0,full topology dry-run,,2.95749904166667,0,NaN,"","",NaN,NaN,NaN,,Battery_idealised,,,full-topology-dry-run-manifest,"Battery_idealised full-topology semantic dry-run emitted 8 rows; labels are corrected but no numerical simulation is claimed."
